trial,theme,topic_structure,g1_stage,level,condition,run_role,run,attempt,p1_anchor_ids,p2_anchor_ids,conflict_ids,conflict_count,union_count,jaccard_conflict_rate,cross_overlap_ratio,p1_story_overlap_ratio,p2_story_overlap_ratio,lexical_flagged_attempt,p1_transition,p2_transition,final_status,final_ng
trial08_branch,hanshin,single_event_boxscore,post_g1,b1b,branch_diagnostic,treatment,run2,0,FACT-05,FACT-03|FACT-04,,0,3,0.0,0.133,0.3,0.452,True,n/a_first_attempt,n/a_first_attempt,OK,False
trial08_branch,hanshin,single_event_boxscore,post_g1,b1b,branch_diagnostic,treatment,run2,1,FACT-05,FACT-03|FACT-04,,0,3,0.0,0.107,0.321,0.294,False,fixed,fixed,OK,False
trial08_branch,hanshin,single_event_boxscore,post_g1,b1b,branch_diagnostic,treatment,run3,0,FACT-02|FACT-04,FACT-05,,0,3,0.0,0.038,0.346,0.233,False,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial08_branch,hanshin,single_event_boxscore,post_g1,b1b,branch_diagnostic,treatment,run3,1,FACT-02|FACT-03|FACT-04,FACT-05,,0,4,0.0,0.069,0.552,0.286,True,changed,fixed,NG_REVIEW_REQUIRED,True
trial08_branch,hanshin,single_event_boxscore,post_g1,b1b,branch_diagnostic,treatment,run3,2,FACT-01|FACT-02|FACT-05,FACT-01|FACT-04,FACT-01,1,4,0.25,0.061,0.303,0.286,False,changed,changed,NG_REVIEW_REQUIRED,True
trial09_cart,car_t,mechanism_limitation,post_g1,a2,focus_hint,treatment,run1,0,FACT-004|FACT-006,FACT-007|FACT-011|FACT-015,,0,5,0.0,0.154,0.179,0.324,False,n/a_first_attempt,n/a_first_attempt,OK,False
trial09_cart,car_t,mechanism_limitation,post_g1,a2,focus_hint,treatment,run2,0,FACT-004,FACT-003|FACT-007|FACT-011|FACT-015,,0,5,0.0,0.0,0.237,0.5,True,n/a_first_attempt,n/a_first_attempt,OK,False
trial09_cart,car_t,mechanism_limitation,post_g1,a2,focus_hint,treatment,run2,1,FACT-004|FACT-006,FACT-002|FACT-003|FACT-007|FACT-011|FACT-015,,0,7,0.0,0.125,0.156,0.4,True,changed,changed,OK,False
trial09_cart,car_t,mechanism_limitation,post_g1,a2,focus_hint,treatment,run2,2,FACT-004|FACT-006,FACT-003|FACT-007|FACT-011|FACT-015,,0,6,0.0,0.079,0.211,0.306,False,fixed,regressed_to_earlier_state,OK,False
trial09_cart,car_t,mechanism_limitation,post_g1,b1b,focus_hint,treatment,run1,0,FACT-004|FACT-006,FACT-002|FACT-011|FACT-015,,0,5,0.0,0.083,0.167,0.571,True,n/a_first_attempt,n/a_first_attempt,OK,False
trial09_cart,car_t,mechanism_limitation,post_g1,b1b,focus_hint,treatment,run1,1,FACT-004|FACT-006,FACT-002|FACT-003|FACT-007|FACT-011|FACT-015,,0,7,0.0,0.073,0.171,0.474,True,fixed,changed,OK,False
trial09_cart,car_t,mechanism_limitation,post_g1,b1b,focus_hint,treatment,run1,2,FACT-004|FACT-006|FACT-007|FACT-011,FACT-003|FACT-006|FACT-007|FACT-011|FACT-015,FACT-006|FACT-007|FACT-011,3,6,0.5,0.206,0.294,0.262,False,changed,changed,OK,False
trial09_cart,car_t,mechanism_limitation,post_g1,b1b,focus_hint,treatment,run2,0,FACT-006,FACT-006|FACT-015,FACT-006,1,2,0.5,0.088,0.176,0.394,False,n/a_first_attempt,n/a_first_attempt,OK,False
